HS_used	TL_used	Share_TL_used	HS_selected	TL_selected
HS12	870390	0.166666666666667	HS17	870380
HS12	870390	0.166666666666667	HS17	870390
HS12	871190	0.5	HS17	871160
HS12	871190	0.5	HS17	871190
HS12	900590	0.5	HS17	900590
HS12	900610	1	HS17	900659
HS12	900659	1	HS17	900659
HS12	900691	0.5	HS17	900691
HS12	900791	0.5	HS17	900791
HS12	901590	0.5	HS17	901590
HS12	903300	0.5	HS17	903300
HS12	920999	0.5	HS17	920999
HS12	940151	0.5	HS17	940152
HS12	940151	0.5	HS17	940153
HS12	940381	0.5	HS17	940382
HS12	940381	0.5	HS17	940383
HS12	940600	0.5	HS17	940610
HS12	940600	0.5	HS17	940690
HS12	392690	0.5	HS17	962000
HS12	442190	0.333333333333333	HS17	962000
HS12	681510	0.5	HS17	962000
HS12	732690	0.5	HS17	962000
HS12	761699	0.5	HS17	962000
HS12	843139	0.5	HS17	962000
HS12	847330	0.5	HS17	962000
HS12	848790	0.5	HS17	962000
HS12	852290	0.5	HS17	962000
HS12	852990	0.5	HS17	962000
HS12	900590	0.5	HS17	962000
HS12	900691	0.5	HS17	962000
HS12	900791	0.5	HS17	962000
HS12	901590	0.5	HS17	962000
HS12	903300	0.5	HS17	962000
HS12	920999	0.5	HS17	962000
